starttime	seconds	ctime	dtime	ttime	wait
Wed Nov 30 17:54:08 2011	1322704448	0	272	272	272
Wed Nov 30 17:58:32 2011	1322704712	0	272	273	272
Wed Nov 30 17:58:34 2011	1322704714	0	273	273	273
Wed Nov 30 17:54:02 2011	1322704442	0	273	273	273
Wed Nov 30 17:53:58 2011	1322704438	0	273	273	273
Wed Nov 30 17:53:58 2011	1322704438	0	273	273	273
Wed Nov 30 17:54:13 2011	1322704453	0	273	273	273
Wed Nov 30 17:54:05 2011	1322704445	0	273	273	273
Wed Nov 30 17:54:13 2011	1322704453	0	273	273	273
Wed Nov 30 17:54:07 2011	1322704447	0	273	273	273
Wed Nov 30 17:58:40 2011	1322704720	0	274	274	274
Wed Nov 30 17:54:01 2011	1322704441	0	274	274	274
Wed Nov 30 17:58:46 2011	1322704726	0	274	274	274
Wed Nov 30 17:58:33 2011	1322704713	0	274	274	274
Wed Nov 30 17:54:10 2011	1322704450	0	274	274	274
Wed Nov 30 17:53:49 2011	1322704429	0	274	274	274
Wed Nov 30 17:53:59 2011	1322704439	0	274	274	274
Wed Nov 30 17:58:41 2011	1322704721	0	274	274	274
Wed Nov 30 17:54:03 2011	1322704443	0	274	274	274
Wed Nov 30 17:54:15 2011	1322704455	0	275	275	274
Wed Nov 30 17:54:01 2011	1322704441	0	275	275	275
Wed Nov 30 17:54:13 2011	1322704453	0	275	275	275
Wed Nov 30 17:58:34 2011	1322704714	0	275	275	275
Wed Nov 30 17:58:41 2011	1322704721	0	275	275	275
Wed Nov 30 17:54:17 2011	1322704457	0	275	275	275
Wed Nov 30 17:53:58 2011	1322704438	0	275	275	275
Wed Nov 30 17:58:46 2011	1322704726	0	275	275	275
Wed Nov 30 17:53:51 2011	1322704431	0	275	275	275
Wed Nov 30 17:54:09 2011	1322704449	0	275	275	275
Wed Nov 30 17:54:14 2011	1322704454	0	275	275	275
Wed Nov 30 17:54:04 2011	1322704444	0	275	275	275
Wed Nov 30 17:54:09 2011	1322704449	0	275	275	275
Wed Nov 30 17:58:40 2011	1322704720	0	275	275	275
Wed Nov 30 17:58:33 2011	1322704713	0	275	275	275
